(     sepallength  sepalwidth  petallength  petalwidth
0      -0.203138   -0.242538    -0.315039   -0.315961
1      -0.252205    0.042948    -0.315039   -0.315961
2      -0.259298   -0.170216    -0.315539   -0.315961
3      -0.251127   -0.074748    -0.313591   -0.315961
4      -0.237282   -0.236698    -0.315039   -0.315961
..           ...         ...          ...         ...
145    -0.074857    0.042948    -0.260588   -0.322237
146     0.041998    0.232476    -0.114632   -0.294742
147    -0.044361    0.042948    -0.260588   -0.316043
148     0.109942   -0.241631    -0.307247   -0.322237
149     0.327779    0.042948    -0.205963   -0.219856

